A7-A5,A9-A7,A11-A9,A14-A11,A16-A14,A20s-A16,A20e-A20s,A24-A20e,A26-A24,A28s-A26,A28e-A28s,B4s-A28e,B4e-B4s,B5-B4e,B7-B5,B9s-B7,B9e-B9s,B10s-B9e,B10e-B10s,B11s-B10e,B11e-B11s
64799,28801,3600,3600,3600,0,3600,0,3600,0,3600,0,3600,0,7200,0,5400,0,5400,0,3600
1200,5400,3600,3600,3600,9600,1800,1800,1800,30600,1800,0,4800,0,7800,7200,3600,3600,5400,30599,0
64799,28801,3600,3600,3600,0,3600,0,3600,0,3600,0,3600,0,7200,0,10800,14399,0,0,0
7199,1,3600,3600,3600,0,3600,0,3600,0,3600,0,3600,0,7200,0,5400,0,5400,0,3600
7199,1,3600,3600,3600,0,3600,0,3600,0,3600,0,3600,0,7200,0,5400,0,5400,0,3600
35999,57601,3600,3600,3600,0,3600,0,3600,0,3600,0,3600,0,7200,0,5400,0,5400,0,3600
64799,28801,3600,3600,3600,0,3600,0,3600,0,3600,0,3600,0,7200,0,5400,0,5400,0,3600
50399,39601,3600,3600,3600,600,1800,1200,1800,0,3600,1800,3600,0,7200,600,3600,1200,4200,4799,0
10799,82801,3600,3600,3600,0,3600,0,3600,0,3600,0,3600,0,7200,0,14400,43199,0,0,0
35999,57601,3600,3600,3600,0,3600,0,3600,0,3600,0,3600,0,7200,0,5400,0,5400,0,3600
35999,57601,3600,3600,3600,0,3600,0,3600,0,3600,0,3600,0,7200,0,5400,0,5400,0,3600
35999,57601,3600,3600,3600,0,3600,0,3600,0,3600,0,3600,0,7200,0,5400,0,5400,0,3600
35999,57601,3600,3600,3600,0,3600,0,3600,0,3600,0,3600,0,7200,0,5400,0,5400,0,3600
82799,10801,3600,3600,3600,0,3600,0,3600,0,3600,0,3600,0,7200,0,5400,0,5400,0,3600
79199,12601,3600,3600,3600,3600,1800,0,1800,20700,2100,0,3600,0,7800,1800,5400,3600,1800,8999,0
64799,28801,3600,3600,3600,0,3600,0,3600,0,3600,0,3600,0,7200,0,5400,0,5400,0,3600
19799,73801,3600,3600,3600,10800,1800,0,1800,73799,0,50401,3600,0,21600,1800,5400,3600,5400,80999,0
10799,79201,3600,3600,3600,0,3600,0,1800,0,3600,0,3600,0,7200,9000,7200,7200,7200,32399,0
35999,57601,3600,3600,3600,0,3600,0,3600,0,3600,0,3600,0,7200,0,5400,0,5400,0,3600
7199,82801,3600,3600,3600,600,1800,1200,1800,0,3600,1800,3600,0,7200,600,3600,1200,4200,47999,0
21599,72001,3600,3600,3600,0,3600,0,3600,0,3600,0,3600,0,7200,0,5400,0,5400,0,3600
7199,1,3600,3600,3600,0,3600,0,3600,0,3600,0,3600,0,7200,0,5400,0,5400,0,3600
7199,1,3600,3600,3600,0,3600,0,3600,0,3600,0,3600,0,7200,0,5400,0,5400,0,5400
35999,57601,3600,3600,3600,0,3600,0,3600,0,3600,0,3600,0,7200,0,5400,0,5400,0,3600
35999,57601,3600,3600,3600,0,3600,0,3600,0,3600,0,3600,0,7200,0,5400,0,5400,0,3600
64799,28801,3600,3600,3600,0,3600,0,3600,0,3600,0,3600,0,7200,0,14400,10799,0,0,0
900,5700,3600,3600,3600,7800,1800,0,1800,37800,1800,0,5400,0,9000,3600,7200,1800,7200,79199,0
35999,57601,3600,3600,3600,0,3600,0,3600,0,3600,0,3600,0,7200,0,5400,0,5400,0,3600
35999,57601,3600,3600,3600,0,3600,0,3600,0,3600,28800,3600,0,7200,0,5400,0,5400,0,3600
86399,5401,3600,3600,3600,7200,1800,0,1800,23400,3600,0,5400,0,9000,3600,5400,3600,5400,86399,0
7199,1,3600,3600,3600,0,3600,0,3600,0,3600,0,3600,0,7200,0,5400,0,5400,0,3600
57599,32401,3600,3600,3600,12600,1800,0,1800,23400,3600,0,5400,0,10800,12600,5400,2400,6600,43199,0
79199,10801,3600,3600,3600,0,1800,1800,1800,0,3600,0,3600,0,7200,0,4800,1200,4800,34199,0
68399,23401,3600,3600,3600,9000,1800,0,1800,19800,3600,0,3600,0,19800,3600,5400,1800,5400,62999,0
64799,28801,3600,3600,3600,0,3600,0,3600,0,3600,0,3600,0,7200,0,5400,0,5400,0,3600
47699,50401,3600,3600,3600,0,1800,0,1800,18000,1800,0,3600,0,9000,10800,5400,1800,7200,50399,0
7199,1,3600,3600,3600,0,3600,0,3600,0,3600,0,3600,0,7200,0,5400,0,5400,0,3600
1200,6600,3600,3600,3600,15600,1800,0,1800,28800,1800,0,7200,0,14400,0,3600,5400,5400,10799,0
5399,1,3600,3600,3600,1800,1800,1800,1800,36000,3600,0,3600,0,7200,5400,5400,1800,5400,86399,0
39599,50401,3600,3600,3600,1800,1800,1800,1800,0,3600,0,5400,0,5400,18000,5400,3600,5400,57599,0
28799,61201,5400,3600,3600,0,1800,0,1800,0,3600,0,12600,0,21600,1200,6600,1200,3600,44999,0
64799,28801,3600,3600,3600,0,3600,0,3600,0,3600,0,3600,0,7200,0,5400,0,5400,0,3600
35999,57601,3600,3600,3600,0,3600,0,3600,0,3600,0,3600,0,7200,0,5400,0,5400,0,3600
64799,28801,3600,3600,3600,0,3600,0,3600,0,3600,0,3600,0,7200,0,14400,10799,0,0,0
57599,34201,3600,3600,3600,0,1800,1800,1800,0,3600,0,5400,0,9000,14400,7200,82799,0,0,0
600,63600,32400,3600,3600,4200,1800,0,1800,34200,1800,0,7200,0,5400,0,5400,1800,5400,21599,0
21599,72001,3600,3600,3600,0,3600,0,3600,0,3600,82800,3600,0,7200,0,5400,0,5400,0,3600
900,6300,3600,3600,3600,1800,1800,0,3600,30600,1800,0,3600,0,14400,0,5400,7200,5400,32399,0
68399,23401,3600,3600,3600,0,3600,1800,1800,0,3600,0,3600,0,7200,0,5400,0,5400,19799,0
35999,57601,3600,3600,3600,0,3600,0,3600,0,3600,0,3600,0,7200,0,5400,0,5400,0,3600
53999,39601,3600,3600,3600,0,1800,0,1800,28800,3600,0,7200,0,7200,9000,5400,0,9000,48599,0
64799,28801,3600,3600,3600,0,3600,0,3600,0,3600,0,3600,0,7200,0,5400,0,5400,0,3600
53999,37801,3600,3600,3600,9000,1800,1800,1800,19800,3600,0,3600,0,7200,18000,5400,1800,5400,44999,0
79199,10801,3600,3600,3600,600,1800,1200,1800,0,3600,1800,3600,0,7200,600,3600,600,4200,34199,0
7199,84601,3600,3600,3600,16200,1800,1800,1800,20400,1800,85800,7200,0,10800,0,7200,1800,7200,86399,0
7199,84601,3600,3600,3600,0,3600,0,3600,0,3600,0,3600,0,5400,0,14400,43199,0,0,0
64799,28801,3600,3600,3600,0,3600,0,3600,0,3600,0,3600,0,7200,0,5400,0,5400,0,3600
71999,18001,3600,3600,3600,7200,1800,52200,1800,52200,1800,0,7200,0,16200,0,5400,3600,5400,75599,0
26999,64801,3600,3600,3600,0,3600,1800,1800,0,3600,0,3600,0,7200,0,5400,0,5400,64799,0
64799,28801,3600,3600,3600,0,3600,0,3600,0,3600,0,3600,0,7200,0,14400,10799,0,0,0
35999,57601,3600,3600,3600,0,3600,0,3600,0,3600,0,3600,0,7200,0,5400,0,5400,0,3600
600,4800,3600,3600,3600,14400,1800,0,1800,27000,1800,0,7200,0,18000,0,5400,3600,5400,43199,0
7199,1,3600,3600,3600,0,3600,0,3600,0,3600,0,3600,0,7200,0,5400,0,5400,0,3600
600,4800,3600,3600,3600,10800,1800,1800,1800,28800,1800,0,5400,0,18000,0,5400,1800,5400,26999,0
64799,28801,3600,3600,3600,0,3600,0,3600,0,3600,0,3600,0,7200,0,5400,0,5400,0,3600
35999,57601,3600,3600,3600,0,3600,0,3600,0,3600,0,3600,0,7200,0,5400,0,5400,0,3600
3599,1,3600,3600,3600,1800,1800,0,1800,0,1800,0,5400,0,5400,21600,5400,3600,5400,21599,0
57599,30601,3600,3600,3600,9000,1800,0,1800,28800,3600,0,3600,0,10800,14400,12600,81000,5400,44999,0
