样本id,A5,A6,A7,A8,A9,A10,A11,A12,A14,A15,A16,A17,A19,A20,A21,A22,A24,A25,A26,A27,A28,B1,B4,B5,B6,B7,B8,B9,B10,B11,B12,B14
sample_1656,6.0,29.0,-1.0,-1.0,8.0,101,9.0,103.0,10.0,105.0,11.0,106.0,200,1.0,50.0,9.0,12.0,80.0,13.0,73.0,1.0,320.0,1.0,15.0,79,17.0,45.0,1.5,1.5,1.0,1200.0,400
sample_1548,12.5,39.0,12.833333333333334,80.0,14.333333333333334,100,15.333333333333334,102.0,16.333333333333332,103.0,17.333333333333332,102.0,300,0.5,50.0,9.0,21.0,76.0,21.5,75.0,0.5,350.0,1.3333333333333333,7.833333333333333,65,10.0,45.0,1.0,1.5,-1.0,800.0,385
sample_769,6.0,80.0,-1.0,-1.0,8.0,102,9.0,104.0,10.0,104.0,11.0,105.0,200,1.0,50.0,9.0,12.0,80.0,13.0,73.0,1.0,320.0,1.0,15.0,80,17.0,45.0,3.0,-1.0,-1.0,1200.0,440
sample_1881,22.0,29.0,-1.0,-1.0,0.0,102,1.0,103.0,2.0,104.0,3.0,105.0,200,1.0,50.0,9.0,4.0,78.0,5.0,73.0,1.0,320.0,1.0,7.0,80,9.0,45.0,1.5,1.5,1.0,1200.0,400
sample_1807,22.0,30.0,-1.0,-1.0,0.0,101,1.0,104.0,2.0,106.0,3.0,107.0,200,1.0,50.0,9.0,4.0,79.0,5.0,72.0,1.0,320.0,1.0,7.0,79,9.0,45.0,1.5,1.5,1.0,1200.0,400
sample_145,14.0,29.0,-1.0,-1.0,16.0,101,17.0,103.0,18.0,104.0,19.0,105.0,200,1.0,50.0,9.0,20.0,80.0,21.0,73.0,1.0,320.0,1.0,23.0,80,1.0,45.0,1.5,1.5,1.0,1200.0,400
sample_1212,6.0,29.0,-1.0,-1.0,8.0,101,9.0,102.0,10.0,103.0,11.0,104.0,200,1.0,50.0,9.0,12.0,78.0,13.0,73.0,1.0,320.0,1.0,15.0,75,17.0,45.0,1.5,1.5,1.0,1200.0,400
sample_944,10.0,24.0,-1.0,-1.0,11.0,100,12.0,103.0,13.0,106.0,14.0,106.0,300,0.5,50.0,9.0,15.0,70.0,15.5,75.0,1.0,350.0,1.0,18.0,64,20.0,45.0,1.0,1.1666666666666667,-1.0,900.0,400
sample_829,21.0,30.0,-1.0,-1.0,23.0,102,0.0,103.0,1.0,104.0,2.0,105.0,200,1.0,50.0,9.0,3.0,80.0,4.0,73.0,1.0,320.0,1.0,6.0,80,8.0,45.0,4.0,-1.0,-1.0,1200.0,440
sample_616,14.0,28.0,-1.0,-1.0,16.0,102,17.0,103.0,18.0,104.0,19.0,105.0,200,1.0,50.0,9.0,20.0,80.0,21.0,73.0,1.0,320.0,1.0,23.0,80,1.0,45.0,1.5,1.5,1.0,1200.0,400
sample_1690,14.0,29.0,-1.0,-1.0,16.0,101,17.0,103.0,18.0,104.0,19.0,105.0,200,1.0,50.0,9.0,20.0,78.0,21.0,73.0,1.0,320.0,1.0,23.0,80,1.0,45.0,1.5,1.5,1.0,1200.0,420
sample_114,14.0,29.0,-1.0,-1.0,16.0,101,17.0,103.0,18.0,104.0,19.0,105.0,200,1.0,50.0,9.0,20.0,80.0,21.0,73.0,1.0,320.0,1.0,23.0,79,1.0,45.0,1.5,1.5,1.0,1200.0,420
sample_185,14.0,29.0,-1.0,-1.0,16.0,102,17.0,103.0,18.0,104.0,19.0,105.0,200,1.0,50.0,9.0,20.0,80.0,21.0,73.0,1.0,1200.0,1.0,23.0,79,1.0,45.0,1.5,1.5,1.0,1200.0,400
sample_1141,1.0,29.0,-1.0,-1.0,3.0,101,4.0,103.0,5.0,104.0,6.0,105.0,200,1.0,50.0,9.0,7.0,80.0,8.0,73.0,1.0,320.0,1.0,10.0,80,12.0,45.0,1.5,1.5,1.0,1200.0,420
sample_1460,2.0,30.0,-1.0,-1.0,3.5,100,4.5,103.0,5.5,103.0,6.5,104.0,300,0.5,50.0,10.0,8.0,70.0,8.5,75.0,0.5833333333333334,350.0,1.0,15.833333333333334,65,18.0,45.0,1.5,0.5,-1.0,800.0,400
sample_1835,6.0,29.0,-1.0,-1.0,8.0,101,9.0,103.0,10.0,104.0,11.0,105.0,200,1.0,50.0,9.0,12.0,80.0,13.0,73.0,1.0,320.0,1.0,15.0,80,17.0,45.0,1.5,1.5,1.0,1200.0,400
sample_1539,18.5,80.0,-1.0,-1.0,20.5,100,21.5,102.0,22.5,103.0,23.5,104.0,300,0.5,50.0,9.0,3.0,70.0,3.5,75.0,0.5,350.0,1.0,15.0,60,21.0,45.0,1.5,1.5,-1.0,800.0,400
sample_598,21.0,22.0,-1.0,-1.0,22.0,101,23.0,103.0,0.0,101.0,1.0,104.0,200,1.0,50.0,9.0,2.0,90.0,2.5,77.0,1.0,330.0,1.0,4.5,65,6.5,45.0,2.0,2.0,-1.0,800.0,420
sample_1800,14.0,29.0,-1.0,-1.0,16.0,102,17.0,103.0,18.0,104.0,19.0,105.0,200,1.0,50.0,9.0,20.0,80.0,21.0,73.0,1.0,320.0,1.0,23.0,80,1.0,45.0,1.5,1.5,1.0,1200.0,420
sample_394,22.0,23.0,-1.0,-1.0,23.0,100,0.0,105.0,1.0,107.0,2.0,107.0,300,0.5,50.0,9.0,3.0,70.0,3.5,78.0,1.0,310.0,1.0,6.0,65,8.0,46.0,1.0,1.1666666666666667,-1.0,800.0,400
sample_1146,18.0,29.0,-1.0,-1.0,20.0,101,21.0,103.0,22.0,104.0,23.0,105.0,200,1.0,50.0,9.0,0.0,78.0,1.0,73.0,1.0,320.0,1.0,3.0,80,5.0,45.0,1.5,1.5,1.0,1200.0,400
sample_149,22.0,29.0,-1.0,-1.0,0.0,102,1.0,103.0,2.0,105.0,3.0,106.0,200,1.0,50.0,9.0,4.0,80.0,5.0,73.0,1.0,320.0,1.0,7.0,80,9.0,45.0,1.5,1.5,1.0,1200.0,420
