A7-A5,A9-A7,A11-A9,A14-A11,A16-A14,A20s-A16,A20e-A20s,A24-A20e,A26-A24,A28s-A26,A28e-A28s,B4s-A28e,B4e-B4s,B5-B4e,B7-B5,B9s-B7,B9e-B9s,B10s-B9e,B10e-B10s,B11s-B10e,B11e-B11s
37799,55801,3600,3600,3600,9000,1800,1800,1800,28800,1800,0,3600,0,12600,0,5400,3600,5400,30599,0
35999,57601,3600,3600,3600,0,3600,0,3600,0,3600,0,3600,0,25200,0,5400,0,5400,0,3600
35999,57601,3600,3600,3600,0,1800,1800,3600,0,3600,0,3600,0,7200,0,5400,0,5400,0,3600
80999,10801,3600,3600,3600,1800,1800,1800,1800,19800,3600,0,3600,0,9000,3600,5400,3600,5400,3599,0
7199,1,3600,3600,3600,0,3600,0,3600,0,3600,0,3600,0,7200,0,5400,0,5400,0,3600
1800,3600,3600,3600,3600,18000,1800,0,1800,18000,1800,0,7200,0,25200,0,5400,3600,5400,61199,0
57599,36001,3600,3600,3600,0,3600,0,3600,0,3600,0,3600,0,7200,0,5400,0,5400,0,3600
64799,28801,3600,3600,3600,0,3600,0,3600,0,3600,0,3600,0,7200,0,5400,0,5400,0,3600
23399,68401,3600,3600,3600,1800,1800,1800,1800,7200,3600,0,5400,0,7200,0,5400,1800,5400,50399,0
46799,45001,3600,3600,3600,1800,1800,1800,1800,16200,3600,0,3600,0,7200,14400,5400,1800,5400,52199,0
35999,57601,3600,3600,3600,0,3600,0,3600,0,3600,0,3600,0,7200,0,5400,0,5400,0,5400
1200,6000,3600,3600,3600,5400,1800,1800,1800,28200,1800,600,7200,0,19800,0,5400,1800,5400,84599,0
46799,45001,3600,3600,3600,1800,5400,1800,1800,12600,3600,0,5400,0,12600,0,5400,1800,5400,59399,0
64799,28801,3600,3600,3600,0,3600,0,3600,0,3600,1800,1800,0,7200,0,5400,0,5400,0,3600
64799,28801,3600,3600,3600,0,3600,0,3600,0,3600,0,3600,0,7200,0,5400,0,5400,0,3600
10799,81001,3600,3600,3600,1800,1800,1800,1800,12600,3600,1800,5400,0,10800,3600,5400,3600,5400,21599,0
64799,28801,3600,3600,3600,0,3600,0,3600,0,3600,0,3600,0,7200,0,5400,0,5400,0,3600
28799,64801,3600,3600,3600,0,3600,0,3600,0,3600,0,3600,0,72000,21600,5400,0,5400,0,3600
35999,57601,3600,3600,3600,0,3600,0,3600,0,3600,0,3600,0,7200,0,5400,0,5400,0,3600
