样本id,A5,A6,A7,A8,A9,A10,A11,A12,A14,A15,A16,A17,A19,A20,A21,A22,A24,A25,A26,A27,A28,B1,B4,B5,B6,B7,B8,B9,B10,B11,B12,B14,收率
sample_1528,13.5,38.0,-1.0,-1.0,15.5,100.0,16.5,102.0,17.5,103.0,18.5,104.0,300.0,0.5,50.0,9.0,22.0,75,22.5,70.0,0.5,350.0,1.0,8.0,65.0,11.5,45.0,1.5,1.5,-1.0,800.0,400.0,0.879
sample_1698,14.0,29.0,-1.0,-1.0,16.0,101.0,17.0,103.0,18.0,104.0,19.0,105.0,200.0,1.0,50.0,9.0,20.0,80,21.0,73.0,1.0,320.0,1.0,23.0,80.0,6.0,45.0,1.5,1.5,1.0,1200.0,400.0,0.902
sample_639,14.0,29.0,-1.0,-1.0,16.0,102.0,17.0,103.0,18.0,104.0,19.0,105.0,200.0,0.5,50.0,9.0,20.0,79,21.0,73.0,1.0,320.0,1.0,23.0,80.0,1.0,45.0,1.5,1.5,1.0,1200.0,400.0,0.9359999999999999
sample_483,1.5,38.0,-1.0,-1.0,3.0,100.0,4.0,102.0,5.0,103.0,6.0,104.0,200.0,0.5,50.0,10.0,7.5,70,8.0,78.0,1.0,290.0,1.0,15.5,65.0,18.0,45.0,1.5,1.5,-1.0,800.0,400.0,0.902
sample_617,22.0,29.0,-1.0,-1.0,0.0,101.0,1.0,103.0,2.0,104.0,3.0,105.0,200.0,1.0,50.0,9.0,4.0,80,5.0,73.0,1.0,320.0,1.0,7.0,80.0,9.0,45.0,1.5,1.5,1.0,1200.0,420.0,0.983
sample_373,2.0,39.0,2.5,80.0,3.5,100.0,4.5,103.0,5.5,104.0,6.5,102.0,300.0,0.5,50.0,9.0,12.0,70,12.5,75.0,0.5,-1.0,2.0,20.0,65.0,3.0,45.0,1.5,1.5,-1.0,800.0,420.0,0.935
sample_577,8.0,29.0,-1.0,-1.0,10.0,101.0,11.0,103.0,12.0,104.0,13.0,105.0,200.0,1.0,50.0,9.0,14.0,80,15.0,73.0,1.0,320.0,1.0,17.0,80.0,19.0,45.0,1.5,1.5,1.0,1200.0,400.0,0.902
sample_212,6.0,29.0,-1.0,-1.0,8.0,101.0,9.0,102.0,10.0,103.0,11.0,103.0,200.0,1.0,50.0,9.0,12.0,78,13.0,73.0,1.0,320.0,1.0,15.0,80.0,17.0,45.0,1.5,1.5,1.0,1200.0,400.0,0.8909999999999999
sample_521,17.5,21.0,-1.0,-1.0,19.0,100.0,20.0,101.0,21.0,102.0,22.0,105.0,300.0,0.5,50.0,9.0,23.5,70,0.0,78.0,1.0,340.0,1.5,4.5,65.0,6.5,45.0,1.5,1.5,-1.0,800.0,420.0,0.9470000000000001
sample_1026,11.0,21.0,-1.0,-1.0,12.5,100.0,13.5,102.0,14.5,103.0,15.5,105.0,200.0,0.5,50.0,9.0,17.0,70,17.5,78.0,1.0,280.0,1.0,0.0,64.0,2.0,50.0,1.5,1.5,-1.0,800.0,400.0,0.902
