样本id,A1,A3,A4,A5,A6,A10,A12,A13,A15,A17,A18,A19,A21,A22,A23,A25,A27,B1,B2,B3,B6,B8,B12,B13,B14,收率,A7-A5,A9-A7,A11-A9,A14-A11,A16-A14,A20s-A16,A20e-A20s,A24-A20e,A26-A24,A28s-A26,A28e-A28s,B4s-A28e,B4e-B4s,B5-B4e,B7-B5,B9s-B7,B9e-B9s,B10s-B9e,B10e-B10s,B11s-B10e,B11e-B11s
sample_1528,300,405.0,700,48600,38.0,100,102,0.2,103.0,104.0,0.2,300,50.0,9.0,5.0,75,70,350.0,3.5,3.5,65,45.0,800.0,0.15,400,0.879,10.499722222222223,15.500277777777777,1.0,1.0,1.0,2.5,0.5,0.5,0.5,8.0,0.5,0.0,1.0,0.0,3.5,0.0,1.5,1.0,1.5,8.499722222222223,0.0
sample_1698,300,405.0,700,50400,29.0,101,103,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,80,73,320.0,3.5,3.5,80,45.0,1200.0,0.15,400,0.902,9.999722222222223,16.00027777777778,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,7.0,0.0,1.5,0.0,1.5,0.0,1.0
sample_639,300,405.0,700,50400,29.0,102,103,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,79,73,320.0,3.5,3.5,80,45.0,1200.0,0.15,400,0.936,9.999722222222223,16.00027777777778,1.0,1.0,1.0,0.0,0.5,0.5,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.5,0.0,1.5,0.0,1.0
sample_483,300,405.0,700,5400,38.0,100,102,0.2,103.0,104.0,0.2,200,50.0,10.0,5.0,70,78,290.0,3.5,3.5,65,45.0,800.0,0.15,400,0.902,22.49972222222222,3.000277777777778,1.0,1.0,1.0,0.5,0.5,0.5,0.5,5.5,1.0,0.0,1.0,0.0,2.5,1.0,1.5,1.0,1.5,0.9997222222222222,0.0
sample_617,300,405.0,700,79200,29.0,101,103,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,80,73,320.0,3.5,3.5,80,45.0,1200.0,0.15,420,0.983,1.9997222222222222,0.0002777777777777778,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.5,0.0,1.5,0.0,1.0
sample_373,300,405.0,700,7200,39.0,100,103,0.2,104.0,102.0,0.2,300,50.0,9.0,5.0,70,75,,3.5,3.5,65,45.0,800.0,0.15,420,0.935,0.5,1.0,1.0,1.0,1.0,5.0,0.5,0.0,0.5,5.0,0.5,0.0,2.0,0.0,7.0,0.0,1.5,1.0,1.5,16.99972222222222,0.0
sample_577,300,405.0,700,28800,29.0,101,103,0.2,104.0,105.0,0.2,200,50.0,9.0,5.0,80,73,320.0,3.5,3.5,80,45.0,1200.0,0.15,400,0.902,15.999722222222223,10.000277777777777,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.5,0.0,1.5,0.0,1.0
sample_212,300,405.0,700,21600,29.0,101,102,0.2,103.0,103.0,0.2,200,50.0,9.0,5.0,78,73,320.0,3.5,3.5,80,45.0,1200.0,0.15,400,0.8909999999999999,17.99972222222222,8.000277777777777,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.5,0.0,1.5,0.0,1.0
sample_521,300,405.0,700,63000,21.0,100,101,0.2,102.0,105.0,0.2,300,50.0,9.0,5.0,70,78,340.0,3.5,3.5,65,45.0,800.0,0.15,420,0.947,6.499722222222222,19.00027777777778,1.0,1.0,1.0,0.5,0.5,0.5,0.5,2.0,1.0,0.0,1.5,0.0,2.0,0.0,1.5,0.5,1.5,13.999722222222223,0.0
sample_1026,300,405.0,700,39600,21.0,100,102,0.2,103.0,105.0,0.2,200,50.0,9.0,5.0,70,78,280.0,3.5,3.5,64,50.0,800.0,0.15,400,0.902,12.999722222222223,12.500277777777777,1.0,1.0,1.0,0.5,0.5,0.5,0.5,4.5,1.0,0.0,1.0,0.0,2.0,4.0,1.5,0.5,1.5,14.499722222222223,0.0
